epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1066.09,3.76061,4.38099,1.80456,0.8931,0.00181,0.00054,0.00025,3.97429,4.27304,2.0836,0.000236169,0.000236169,0.000236169
2,2116.22,3.6618,3.73146,1.55049,0.00087,0.01146,0.00054,0.00019,3.887,4.09598,1.86456,0.000464781,0.000464781,0.000464781
3,3237.33,3.62575,3.59978,1.55758,0.00218,0.01249,0.00138,0.00076,3.75163,3.86209,1.74587,0.000683967,0.000683967,0.000683967
4,4278.41,3.59765,3.52942,1.51142,0.33811,0.00264,0.00232,0.00099,3.89339,4.71383,1.71445,0.000671588,0.000671588,0.000671588
5,5312.17,3.54887,3.40849,1.49238,0.23006,0.0028,0.00163,0.00076,3.69297,3.88159,1.69546,0.000657451,0.000657451,0.000657451
6,6333.41,3.47595,3.35764,1.50028,0.34289,0.00368,0.00164,0.00069,3.58128,3.74299,1.73905,0.000643314,0.000643314,0.000643314
7,7366.32,3.47763,3.31528,1.46587,0.23318,0.00337,0.00143,0.00073,3.60596,4.13801,1.62784,0.000629177,0.000629177,0.000629177
8,8392.97,3.43067,3.28864,1.46104,0.12124,0.0037,0.00133,0.00051,3.57395,3.86872,1.64395,0.00061504,0.00061504,0.00061504
9,9417.28,3.40366,3.2367,1.45552,0.45142,0.0028,0.00127,0.00044,3.58115,4.00644,1.69072,0.000600902,0.000600902,0.000600902
10,10442.6,3.36803,3.21338,1.45777,0.34303,0.00356,0.00141,0.00053,3.47581,3.7225,1.62225,0.000586765,0.000586765,0.000586765
11,11469.6,3.38619,3.21256,1.45347,0.00523,0.02257,0.00407,0.00179,3.56664,5.69843,1.7332,0.000572628,0.000572628,0.000572628
12,12497.9,3.34857,3.16296,1.43253,0.00269,0.02499,0.00192,0.00063,3.61103,4.21632,1.63456,0.000558491,0.000558491,0.000558491
13,13530.3,3.32464,3.11429,1.42823,0.45871,0.0042,0.00215,0.00099,3.54169,4.20633,1.65631,0.000544354,0.000544354,0.000544354
14,14551.9,3.32526,3.10947,1.41436,0.46958,0.00568,0.00531,0.00205,3.56021,3.63952,1.71167,0.000530216,0.000530216,0.000530216
15,15568.6,3.28103,3.08508,1.4036,0.56319,0.00346,0.00297,0.001,3.53202,3.96499,1.65127,0.000516079,0.000516079,0.000516079
16,16586.2,3.28187,3.08338,1.41677,0.67605,0.00363,0.00184,0.00075,3.52409,3.96734,1.68792,0.000501942,0.000501942,0.000501942
17,17597.4,3.25117,3.04174,1.40778,0.45288,0.00684,0.00356,0.0015,3.57152,3.67558,1.64969,0.000487805,0.000487805,0.000487805
18,18614.7,3.22134,3.00605,1.39526,0.12339,0.01108,0.00258,0.00101,3.48869,4.29009,1.69716,0.000473668,0.000473668,0.000473668
19,19637.8,3.26706,3.02344,1.40085,0.00264,0.02624,0.00232,0.00107,3.41463,3.91926,1.62119,0.00045953,0.00045953,0.00045953
20,20660.2,3.22097,2.98439,1.37892,0.34099,0.00519,0.00483,0.0017,3.50076,3.71487,1.63068,0.000445393,0.000445393,0.000445393
21,21680,3.2087,2.95842,1.39284,0.45048,0.00659,0.00316,0.00087,3.54409,3.58125,1.70581,0.000431256,0.000431256,0.000431256
22,22710.9,3.17013,2.93526,1.37362,0.11517,0.01319,0.00603,0.00231,3.58255,3.74498,1.58373,0.000417119,0.000417119,0.000417119
23,23733.7,3.14234,2.89994,1.37364,0.00627,0.03372,0.00548,0.00188,3.42195,3.9688,1.59769,0.000402982,0.000402982,0.000402982
24,24757.2,3.15522,2.90418,1.35248,0.00834,0.03765,0.01054,0.00366,3.47956,3.86271,1.5751,0.000388844,0.000388844,0.000388844
25,25780.5,3.16486,2.92166,1.35917,0.01918,0.03293,0.01644,0.00645,3.51449,3.65299,1.62111,0.000374707,0.000374707,0.000374707
26,26801.4,3.14295,2.89437,1.35127,0.01537,0.03057,0.01262,0.00201,3.47116,4.26198,1.6325,0.00036057,0.00036057,0.00036057
27,27826.1,3.09088,2.83783,1.36086,0.44951,0.0089,0.00345,0.00159,3.36753,3.57296,1.59464,0.000346433,0.000346433,0.000346433
28,28859.7,3.0726,2.81341,1.34813,0.00671,0.04067,0.00567,0.00212,3.56576,4.45877,1.6867,0.000332296,0.000332296,0.000332296
29,29893.6,3.09949,2.83944,1.33846,0.02968,0.02273,0.00834,0.00304,3.48243,3.92044,1.59211,0.000318158,0.000318158,0.000318158
30,30933.4,3.09965,2.82652,1.34873,0.02907,0.02579,0.0102,0.0042,3.45917,3.73884,1.60086,0.000304021,0.000304021,0.000304021
31,31968.4,3.05132,2.78511,1.3218,0.01257,0.04163,0.01408,0.0071,3.36523,3.66737,1.60718,0.000289884,0.000289884,0.000289884
32,32996.3,3.07685,2.80104,1.3433,0.00608,0.04522,0.01011,0.00476,3.48081,4.05368,1.60145,0.000275747,0.000275747,0.000275747
33,34033.2,3.04972,2.78314,1.32313,0.01519,0.04356,0.01793,0.00491,3.42429,3.63206,1.59391,0.00026161,0.00026161,0.00026161
34,35065.5,3.04684,2.79025,1.33564,0.00786,0.03545,0.01125,0.00406,3.3871,3.79818,1.61223,0.000247472,0.000247472,0.000247472
35,36094.1,3.0202,2.776,1.32611,0.00808,0.04472,0.01036,0.00446,3.35445,3.77679,1.57067,0.000233335,0.000233335,0.000233335
36,37125,3.0349,2.763,1.32992,0.04988,0.031,0.01663,0.00681,3.33975,3.6959,1.57126,0.000219198,0.000219198,0.000219198
37,38155.1,2.99223,2.73524,1.3128,0.0367,0.0282,0.01229,0.00537,3.43296,3.90181,1.56412,0.000205061,0.000205061,0.000205061
38,39200.8,2.97799,2.70611,1.31088,0.03299,0.02584,0.01164,0.00578,3.35011,3.5642,1.57351,0.000190924,0.000190924,0.000190924
39,40231.6,2.9511,2.68061,1.30477,0.03314,0.03034,0.0106,0.00586,3.33323,3.77776,1.54522,0.000176786,0.000176786,0.000176786
40,41267.9,2.99994,2.72487,1.30958,0.09843,0.01396,0.01074,0.0049,3.34738,3.6735,1.57909,0.000162649,0.000162649,0.000162649
41,42245.2,2.95347,2.76201,1.3369,0.0338,0.02171,0.00978,0.00389,3.37705,3.80184,1.54834,0.000148512,0.000148512,0.000148512
42,43221.8,2.90305,2.70171,1.32171,0.00743,0.04387,0.01062,0.00414,3.34528,3.74415,1.52902,0.000134375,0.000134375,0.000134375
43,44199.9,2.92993,2.70277,1.32068,0.20876,0.01248,0.01072,0.00377,3.33052,3.66703,1.55105,0.000120238,0.000120238,0.000120238
44,45179.4,2.92395,2.69856,1.32672,0.09736,0.01405,0.01088,0.00406,3.33556,3.7255,1.54622,0.0001061,0.0001061,0.0001061
45,46147.2,2.90245,2.66938,1.31395,0.07627,0.0159,0.0116,0.00434,3.30994,3.73099,1.52986,9.19632e-05,9.19632e-05,9.19632e-05
46,47124.6,2.87354,2.66096,1.30721,0.36836,0.0196,0.01455,0.00554,3.35851,3.74627,1.55134,7.7826e-05,7.7826e-05,7.7826e-05
47,48096,2.87678,2.6528,1.30743,0.03457,0.0208,0.00988,0.00393,3.28804,3.81428,1.53549,6.36888e-05,6.36888e-05,6.36888e-05
48,49066.9,2.85306,2.62189,1.30032,0.04009,0.01978,0.01049,0.00419,3.28816,3.6852,1.51217,4.95516e-05,4.95516e-05,4.95516e-05
49,50031.2,2.85707,2.62452,1.29764,0.36507,0.01762,0.01374,0.00513,3.28777,3.63973,1.528,3.54144e-05,3.54144e-05,3.54144e-05
50,51001.8,2.86095,2.63706,1.30221,0.13877,0.01904,0.01403,0.00553,3.28529,3.62308,1.52634,2.12772e-05,2.12772e-05,2.12772e-05
